Time (s),Offered RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
0,21.9,21.0,11.9,15.0,21,0
1,22.2,22.0,11.7,13.2,22,0
2,22.6,22.0,11.8,12.6,22,0
3,23.1,23.0,11.7,12.7,23,0
4,23.6,23.0,12.4,14.6,23,0
5,24.3,24.0,11.5,13.7,24,0
6,25.0,25.0,11.7,13.8,25,0
7,25.9,25.0,12.2,15.0,25,0
8,27.0,26.0,11.9,13.8,26,0
9,28.2,28.0,11.8,13.9,28,0
10,29.6,29.0,12.0,13.9,29,0
11,31.3,31.0,12.1,13.5,31,0
12,33.3,33.0,11.4,13.2,33,0
13,35.6,35.0,12.3,14.4,35,0
14,38.2,38.0,11.3,14.2,38,0
15,41.2,41.0,12.2,14.7,41,0
16,44.8,44.0,11.8,13.7,44,0
17,48.8,48.0,12.4,14.9,48,0
18,53.4,53.0,12.4,14.8,53,0
19,58.6,58.0,12.0,14.7,58,0
20,64.5,64.0,12.5,17.2,64,0
21,71.1,71.0,12.1,15.4,71,0
22,78.4,78.0,11.3,15.7,78,0
23,86.5,86.0,12.5,15.4,86,0
24,95.3,95.0,11.3,16.2,95,0
25,104.8,104.0,11.6,14.7,104,0
26,115.0,114.0,10.2,12.6,114,0
27,125.7,125.0,10.8,13.0,125,0
28,136.9,136.0,11.8,13.3,136,0
29,148.4,148.0,11.7,13.2,148,0
30,160.0,160.0,11.5,13.0,160,0
31,171.6,171.0,11.4,13.9,171,0
32,183.1,183.0,11.9,14.2,183,0
33,194.3,194.0,11.3,14.0,194,0
34,205.0,205.0,11.7,13.6,205,0
35,215.2,215.0,12.4,13.6,215,0
36,224.7,224.0,11.3,13.3,224,0
37,233.5,233.0,11.7,13.0,233,0
38,241.6,241.0,11.5,13.0,241,0
39,248.9,248.0,12.0,13.3,248,0
40,255.5,255.0,10.9,13.2,255,0
41,261.4,261.0,11.4,13.0,261,0
42,266.6,266.0,11.4,13.7,266,0
43,271.2,271.0,11.4,14.7,271,0
44,275.2,275.0,11.6,14.5,275,0
45,278.8,278.0,12.0,14.9,278,0
46,281.8,281.0,11.8,14.3,281,0
47,284.4,284.0,11.4,13.9,284,0
48,286.7,286.0,11.1,14.2,286,0
49,288.7,288.0,11.3,14.4,288,0
50,290.4,290.0,11.3,14.5,290,0
51,291.8,291.0,11.0,13.9,291,0
52,293.0,293.0,12.4,14.8,293,0
53,294.1,294.0,11.2,14.0,294,0
54,295.0,294.0,11.6,14.4,294,0
55,295.7,295.0,12.0,14.6,295,0
56,296.4,296.0,11.9,14.5,296,0
57,296.9,296.0,11.2,14.4,296,0
58,297.4,297.0,11.5,14.3,297,0
59,297.8,297.0,11.3,14.0,297,0
