Time (s),Offered RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
0,21.9,21.0,11.9,13.7,21,0
1,22.2,22.0,11.5,13.4,22,0
2,22.6,22.0,11.9,13.1,22,0
3,23.1,23.0,11.3,12.8,23,0
4,23.6,23.0,11.9,14.1,23,0
5,24.3,24.0,11.7,13.1,24,0
6,25.0,25.0,11.2,13.6,25,0
7,25.9,25.0,11.0,12.7,25,0
8,27.0,26.0,11.8,12.8,26,0
9,28.2,28.0,11.3,12.6,28,0
10,29.6,29.0,11.9,13.6,29,0
11,31.3,31.0,11.1,13.6,31,0
12,33.3,33.0,11.6,13.1,33,0
13,35.6,35.0,11.0,13.1,35,0
14,38.2,38.0,11.4,14.0,38,0
15,41.2,41.0,11.0,14.1,41,0
16,44.8,44.0,10.0,11.7,44,0
17,48.8,48.0,11.0,13.6,48,0
18,53.4,53.0,10.9,13.3,53,0
19,58.6,58.0,10.0,12.4,58,0
20,64.5,64.0,9.4,11.5,64,0
21,71.1,71.0,8.7,10.4,71,0
22,78.4,78.0,8.7,11.0,78,0
23,86.5,86.0,8.4,10.4,86,0
24,95.3,95.0,8.0,10.2,95,0
25,104.8,104.0,8.8,11.9,104,0
26,115.0,114.0,8.4,11.6,114,0
27,125.7,125.0,9.3,11.3,125,0
28,136.9,136.0,8.9,11.3,136,0
29,148.4,148.0,9.7,11.9,148,0
30,160.0,160.0,9.9,12.0,160,0
31,171.6,171.0,10.5,16.0,171,0
32,183.1,183.0,10.4,14.5,183,0
33,194.3,194.0,11.7,16.8,194,0
34,205.0,205.0,13.8,20.1,205,0
35,215.2,215.0,20.5,28.8,215,0
36,224.7,224.0,21.8,32.1,224,0
37,233.5,233.0,21.0,27.8,233,0
38,241.6,241.0,33.1,45.2,241,0
39,248.9,248.0,36.8,47.7,248,0
40,255.5,255.0,47.0,58.7,255,0
41,261.4,261.0,63.3,76.6,261,0
42,266.6,266.0,74.1,90.8,266,0
43,271.2,271.0,112.6,139.4,271,0
44,275.2,275.0,134.6,157.5,275,0
45,278.8,278.0,158.3,183.7,278,0
46,281.8,281.0,166.0,198.0,281,0
47,284.4,284.0,197.5,233.8,284,0
48,286.7,286.0,222.7,252.5,286,0
49,288.7,288.0,241.2,268.9,288,0
50,290.4,290.0,247.8,279.8,290,0
51,291.8,291.0,265.0,306.7,291,0
52,293.0,293.0,263.7,291.4,293,0
53,294.1,294.0,281.2,315.9,294,0
54,295.0,294.0,286.2,324.4,294,0
55,295.7,295.0,291.6,341.2,295,0
56,296.4,296.0,278.0,310.2,296,0
57,296.9,296.0,284.9,310.2,296,0
58,297.4,297.0,293.4,331.7,297,0
59,297.8,297.0,330.6,406.3,297,0
