Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,6.7,7.8,299,0
20,20.0,6.7,7.5,600,0
30,30.0,6.5,7.2,900,0
40,40.0,6.3,7.2,1200,0
50,50.0,6.0,6.9,1499,0
100,100.0,5.5,6.2,2999,0
200,200.0,5.2,6.0,5999,0
300,300.0,5.0,5.7,9000,0
400,400.0,5.0,5.9,11999,0
500,500.0,5.2,6.0,14999,0
600,600.0,5.3,6.4,17999,0
800,799.8,5.8,7.0,23995,0
1000,981.8,6.2,7.6,29455,0
1200,1092.5,6.6,8.2,32775,0
1400,1191.2,7.0,8.7,35736,0
1600,1294.4,7.4,9.4,38831,0
1800,1387.0,7.8,10.2,41610,0
2000,1497.2,8.4,11.0,44915,0
2200,1632.1,9.2,12.3,48964,0
2400,1780.6,10.5,14.8,53417,0
2600,1560.7,511.9,2617.4,46822,4674
2800,1655.0,62.7,400.4,49650,3939
3000,1519.4,432.4,2533.7,45582,7345
3200,1627.8,77.8,329.8,48833,6082
3400,1298.2,564.8,1598.0,38947,10615
3600,1312.9,280.9,714.4,39387,9756
3800,1242.6,623.2,1499.1,37277,11620
4000,1262.1,506.7,1213.1,37864,11438
4200,1301.5,561.4,1226.3,39045,11347
4400,1264.7,681.8,1462.1,37940,12305
4600,1232.1,686.2,1375.8,36964,12326
4800,1261.7,1075.1,2510.2,37851,13013
5000,1273.4,1011.1,2119.3,38203,12488
