Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,7.0,12.8,300,0
20,20.0,6.3,12.2,599,0
30,30.0,6.5,12.0,899,0
40,40.0,6.5,12.0,1200,0
50,50.0,6.4,11.9,1499,0
100,100.0,6.4,11.9,2999,0
200,200.0,7.2,13.7,5999,0
300,300.0,7.6,14.4,8999,0
400,400.0,7.9,15.4,11999,0
500,500.0,8.4,16.0,14999,0
600,599.9,8.9,17.0,17998,0
800,799.7,9.9,19.2,23992,0
1000,984.8,11.7,22.8,29544,0
1200,1083.7,14.3,27.8,32511,0
1400,1173.3,43.7,95.1,35198,0
1600,1269.5,104.2,229.4,38085,0
1800,1395.2,181.6,387.5,41856,0
2000,1486.9,266.2,580.0,44607,237
2200,1469.0,369.4,654.4,44070,1336
2400,1539.0,1514.0,4752.0,46171,958
2600,1519.4,2947.9,7094.7,45582,1605
2800,1498.2,4086.1,9298.9,44945,1876
3000,1479.4,4824.4,10691.4,44381,2346
3200,1482.6,5280.0,11334.8,44479,2222
3400,1480.9,5466.8,11771.5,44426,2460
3600,1478.0,5968.5,12752.9,44340,2789
3800,1484.0,5816.6,12395.6,44520,2766
4000,1494.3,5905.5,12714.0,44829,2833
4200,1483.6,5883.2,12633.0,44509,2882
4400,1494.8,6173.3,13298.8,44845,3072
4600,1494.1,6028.4,12794.9,44823,3007
4800,1490.4,6200.6,13257.7,44713,3273
5000,1472.1,5973.7,12716.0,44164,3640
