Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,7.0,12.6,300,0
20,20.0,6.9,12.5,600,0
30,30.0,6.8,12.2,900,0
40,40.0,6.6,12.1,1200,0
50,50.0,6.6,12.1,1500,0
100,100.0,6.9,13.2,2999,0
200,200.0,7.2,13.8,5999,0
300,300.0,7.6,14.5,9000,0
400,400.0,8.0,15.1,11999,0
500,500.0,8.4,15.8,14999,0
600,600.0,8.7,16.4,17999,0
800,799.9,9.6,18.3,23998,0
1000,985.9,11.2,21.9,29576,0
1200,1083.7,13.3,26.2,32512,0
1400,1175.4,46.0,98.8,35263,0
1600,1272.0,133.9,298.6,38159,0
1800,1398.2,205.6,435.0,41947,0
2000,1475.7,283.3,576.5,44270,439
2200,1522.2,425.2,831.0,45666,576
2400,1515.6,1395.7,4094.2,45467,1521
2600,1561.8,3733.0,8012.2,46855,1731
2800,1504.0,4177.4,8613.7,45120,2162
3000,1537.3,5250.5,11169.1,46120,2425
3200,1519.9,4608.1,9527.5,45597,2475
3400,1559.7,5463.7,11587.9,46790,2617
3600,1519.2,4954.3,10079.8,45575,2970
3800,1558.8,5645.7,11802.2,46764,3035
4000,1550.8,4622.6,9515.2,46524,3189
4200,1588.5,5249.2,10990.1,47654,3124
4400,1531.1,4677.8,9557.2,45934,3772
4600,1571.4,5334.1,10918.7,47141,3634
4800,1536.5,4817.6,9758.1,46094,4164
5000,1573.5,5222.3,10598.1,47204,3321
