Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,10.2,17.6,300,0
20,20.0,8.4,15.7,599,0
30,30.0,9.2,16.3,900,0
40,40.0,8.7,15.7,1200,0
50,50.0,8.5,15.5,1500,0
100,100.0,7.5,13.8,3000,0
200,200.0,7.6,14.3,5999,0
300,300.0,7.9,14.8,8999,0
400,400.0,8.4,15.7,11999,0
500,500.0,8.9,16.3,14999,0
600,600.0,9.5,17.6,17999,0
800,799.5,10.6,19.6,23985,0
1000,986.9,12.9,23.8,29606,0
1200,1082.3,15.4,28.4,32469,0
1400,1178.1,72.5,148.9,35343,0
1600,1260.9,105.6,222.0,37827,0
1800,1376.9,197.0,411.5,41308,0
2000,1405.0,1691.4,7082.8,42151,840
2200,1401.3,1993.6,7580.4,42038,1152
2400,1441.2,3110.3,10310.1,43237,1908
2600,1352.0,6165.6,14740.4,40561,2981
2800,1269.0,6932.3,15533.2,38070,3647
3000,1315.1,8887.7,19494.4,39453,4143
3200,1273.8,8064.1,17233.0,38214,4333
3400,1306.3,9450.4,20058.1,39190,4952
3600,1269.0,8797.9,18321.3,38070,5017
3800,1303.3,9813.4,20585.3,39098,5246
4000,1271.8,9024.8,18570.0,38153,5657
4200,1303.6,10088.6,20842.3,39108,5760
4400,1274.1,9214.0,18862.6,38222,5799
4600,1302.5,10169.7,21151.8,39075,6681
4800,1272.0,9455.9,19130.3,38160,6215
5000,1298.8,10316.3,21105.6,38965,7032
