Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,2.2,6.4,300,0
20,20.0,2.0,6.4,600,0
30,30.0,1.9,6.0,900,0
40,40.0,1.9,6.0,1200,0
50,50.0,1.9,6.0,1500,0
100,100.0,1.8,5.7,3000,0
200,200.0,1.9,6.4,5999,0
300,299.9,1.6,5.7,8996,0
400,400.0,1.4,5.2,11999,0
500,500.0,1.4,5.2,15000,0
600,600.0,1.3,4.9,17999,0
800,799.9,1.2,4.9,23996,0
1000,949.0,1.2,4.8,28470,0
1200,1023.7,1.2,4.8,30711,0
1400,1314.1,1.2,4.8,39424,0
1600,1438.3,1.2,4.9,43148,0
1800,1508.5,1.2,4.9,45254,0
2000,1574.1,1.2,4.9,47222,0
2200,1661.3,1.2,5.0,49839,0
2400,1783.4,1.2,5.0,53503,0
2600,1858.6,1.2,5.1,55759,0
2800,1912.6,1.3,5.1,57379,0
3000,1991.0,1.3,5.2,59731,0
3200,2136.9,1.3,5.3,64106,0
3400,2275.5,1.3,5.4,68264,0
3600,2439.0,1.3,5.5,73169,0
3800,2574.8,1.4,5.5,77243,0
4000,2692.0,1.4,5.6,80760,0
4200,2852.9,1.4,5.8,85586,0
4400,2647.6,2.6,7.8,79428,1405
4600,2809.2,2.3,6.7,84277,1850
4800,2642.6,3.6,24.4,79278,3113
5000,2853.1,3.3,21.3,85593,2195
