Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,7.4,8.1,299,0
20,20.0,7.1,7.8,600,0
30,30.0,6.9,7.8,900,0
40,40.0,6.7,7.5,1199,0
50,50.0,6.3,7.1,1499,0
100,100.0,5.4,6.3,3000,0
200,200.0,4.8,5.7,5999,0
300,299.9,4.9,5.7,8998,0
400,400.0,4.8,5.6,11999,0
500,499.9,4.9,5.7,14998,0
600,600.0,5.1,6.2,17999,0
800,799.9,5.4,6.6,23998,0
1000,981.0,5.9,7.3,29431,0
1200,1092.2,6.2,7.8,32766,0
1400,1194.5,6.5,8.1,35835,0
1600,1288.8,7.0,8.8,38664,0
1800,1384.0,7.3,9.4,41519,0
2000,1489.8,7.9,10.3,44695,0
2200,1618.1,8.4,11.0,48542,0
2400,1760.3,21.6,96.7,52810,0
2600,1660.9,372.3,2040.6,49828,2074
2800,1803.0,125.3,905.5,54089,1251
3000,1684.0,455.4,2516.0,50519,3240
3200,1861.4,143.7,991.6,55842,2186
3400,1522.1,587.2,2110.7,45662,4771
3600,1542.2,257.4,823.1,46266,4911
3800,1532.2,376.2,1228.4,45967,4804
4000,1378.2,363.4,910.9,41347,8188
4200,1416.2,292.3,692.6,42485,7736
4400,1345.7,533.2,1300.5,40370,9506
4600,1390.5,493.9,1148.1,41715,9410
4800,1399.6,552.7,1208.1,41987,9806
5000,1367.1,489.5,1021.6,41014,10017
