Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,2.0,6.5,300,0
20,20.0,2.1,6.3,600,0
30,30.0,1.8,6.0,900,0
40,40.0,1.8,6.0,1199,0
50,50.0,1.9,6.1,1500,0
100,100.0,1.8,5.9,2999,0
200,200.0,1.6,5.5,5999,0
300,300.0,1.5,5.2,8999,0
400,400.0,1.4,4.9,11999,0
500,500.0,1.3,4.7,15000,0
600,599.7,1.3,4.8,17991,0
800,799.9,1.2,4.7,23997,0
1000,952.9,1.2,4.7,28586,0
1200,1044.7,1.2,4.7,31340,0
1400,1323.9,1.2,4.7,39718,0
1600,1439.5,1.2,4.7,43185,0
1800,1504.4,1.2,4.8,45133,0
2000,1569.5,1.2,4.8,47085,0
2200,1663.7,1.3,4.9,49910,0
2400,1815.3,1.3,5.0,54460,0
2600,1906.1,1.3,5.1,57183,0
2800,1897.2,1.3,5.1,56916,0
3000,2035.7,1.3,5.3,61072,0
3200,1764.8,1472.4,7796.5,52944,6433
3400,1948.8,15.9,31.1,58464,3403
3600,1676.3,1531.8,6700.8,50289,10286
3800,1681.1,64.6,411.4,50432,11514
4000,1408.4,1950.9,8422.5,42251,14313
4200,1528.5,284.1,1907.8,45856,11791
4400,1474.9,1026.6,4784.1,44246,14882
4600,1075.5,454.0,1883.3,32266,20798
4800,1289.9,974.7,4214.9,38696,18100
5000,977.1,1157.9,3728.0,29314,22949
