Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,7.3,8.0,300,0
20,20.0,7.1,7.9,600,0
30,30.0,6.9,7.8,900,0
40,40.0,6.8,7.7,1199,0
50,50.0,6.3,7.3,1499,0
100,100.0,5.6,6.3,3000,0
200,200.0,5.0,5.8,5999,0
300,300.0,5.0,5.8,9000,0
400,400.0,5.1,6.0,11999,0
500,500.0,5.2,6.1,14999,0
600,600.0,5.4,6.5,17999,0
800,799.9,6.0,7.3,23996,0
1000,980.4,6.6,8.2,29411,0
1200,1093.3,7.1,9.1,32800,0
1400,1192.1,7.6,9.8,35762,0
1600,1253.1,2706.6,8697.5,37594,0
1800,864.3,1220.5,3511.0,25929,11212
2000,1200.9,3911.1,10231.1,36028,6172
2200,831.0,3343.1,8092.3,24931,13357
2400,1119.0,4915.2,9931.2,33569,10266
2600,798.1,5905.2,10322.1,23942,17135
2800,850.3,7196.4,12805.9,25508,17133
3000,864.5,6378.0,10080.1,25934,17211
3200,857.1,6227.7,12414.1,25712,18645
3400,801.6,7430.7,12993.3,24049,19690
3600,856.9,5950.9,10705.5,25708,19136
3800,815.4,8505.6,14299.7,24461,19810
4000,863.5,7005.0,14686.0,25904,20307
4200,919.4,8370.9,17720.7,27581,18896
4400,908.3,8567.5,13122.8,27250,18902
4600,714.9,9033.7,17311.5,21447,22917
4800,872.1,10172.6,18977.2,26163,20750
5000,986.0,8900.7,17251.4,29579,18811
