Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,2.0,6.8,300,0
20,20.0,2.0,6.7,600,0
30,30.0,1.9,6.6,899,0
40,40.0,1.8,6.5,1200,0
50,50.0,1.9,6.5,1499,0
100,100.0,1.7,6.2,3000,0
200,200.0,1.5,5.8,5999,0
300,300.0,1.5,5.5,8999,0
400,399.9,1.4,5.2,11997,0
500,500.0,1.3,5.1,14999,0
600,600.0,1.3,4.9,17999,0
800,799.9,1.2,4.9,23996,0
1000,950.5,1.2,4.8,28516,0
1200,1025.9,1.2,4.8,30776,0
1400,1310.1,1.2,4.8,39303,0
1600,1442.6,1.2,4.8,43278,0
1800,1507.4,1.2,4.9,45222,0
2000,1563.8,1.2,4.9,46913,0
2200,1662.4,1.2,5.0,49872,0
2400,1782.0,1.2,5.0,53460,0
2600,1873.2,1.2,5.0,56196,0
2800,1906.3,1.2,5.1,57189,0
3000,1971.7,1.3,5.2,59150,0
3200,2114.0,1.3,5.2,63420,0
3400,2275.1,1.3,5.3,68253,0
3600,2426.8,1.3,5.3,72805,0
3800,2581.6,1.3,5.4,77449,0
4000,2702.5,1.3,5.5,81074,0
4200,2821.7,1.4,5.5,84652,0
4400,2711.1,2.0,6.1,81333,923
4600,2759.9,2.5,7.4,82797,1351
4800,2683.9,2.9,11.3,80517,3453
5000,2803.8,3.4,22.6,84113,2752
