Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,6.0,6.7,299,0
20,20.0,5.7,6.4,599,0
30,30.0,5.6,6.3,900,0
40,40.0,5.4,6.1,1199,0
50,50.0,5.9,6.8,1500,0
100,100.0,5.4,6.2,3000,0
200,200.0,4.7,5.7,5999,0
300,300.0,4.9,5.6,8999,0
400,400.0,4.8,5.6,11999,0
500,500.0,5.0,5.8,14999,0
600,599.9,5.1,6.0,17996,0
800,799.9,5.4,6.4,23996,0
1000,980.4,5.7,6.9,29411,0
1200,1093.5,6.0,7.4,32805,0
1400,1194.5,6.2,7.7,35836,0
1600,1296.4,6.7,8.4,38892,0
1800,1381.1,7.0,8.9,41434,0
2000,1497.8,7.6,9.8,44935,0
2200,1624.5,8.0,10.5,48735,0
2400,1780.9,9.1,12.5,53428,0
2600,1902.8,10.6,14.8,57083,0
2800,1985.5,11.9,17.7,59564,71
3000,1856.0,20.6,39.1,55679,1482
3200,1915.3,24.2,46.2,57460,1386
3400,1469.3,175.9,674.8,44078,4740
3600,1625.8,276.4,827.0,48775,4012
3800,1484.0,265.3,860.6,44519,5201
4000,1473.5,217.1,686.7,44205,4901
4200,1557.7,286.1,835.5,46732,5201
4400,1444.2,261.7,806.5,43327,6375
4600,1521.4,439.1,1441.4,45642,6805
4800,1521.2,362.5,1026.8,45635,6961
5000,1491.9,332.4,1044.6,44758,5957
