Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,7.0,12.9,299,0
20,20.0,6.5,12.1,599,0
30,30.0,6.4,12.1,900,0
40,40.0,6.1,11.6,1200,0
50,50.0,6.1,11.7,1500,0
100,100.0,6.2,12.0,3000,0
200,200.0,6.9,13.6,5999,0
300,300.0,7.3,14.4,9000,0
400,400.0,7.7,15.2,12000,0
500,500.0,8.2,16.3,14999,0
600,600.0,8.9,17.5,18000,0
800,799.9,10.2,20.1,23998,0
1000,985.3,11.8,23.3,29560,0
1200,1086.4,13.7,26.7,32593,0
1400,1170.5,21.1,41.3,35116,0
1600,1263.8,78.4,145.8,37913,0
1800,1385.8,134.9,308.6,41575,0
2000,1502.7,219.0,427.2,45080,0
2200,1531.8,246.8,449.9,45954,484
2400,1671.9,352.8,603.1,50157,107
2600,1545.6,1796.3,5515.9,46367,957
2800,1543.2,3547.8,9719.6,46297,1403
3000,1460.6,4735.6,11130.5,43819,1626
3200,1465.9,5865.3,13927.3,43976,1752
3400,1458.1,6297.4,14383.1,43743,2048
3600,1438.6,6950.1,15265.9,43158,2356
3800,1451.3,6785.1,14973.5,43539,2361
4000,1450.9,7192.8,15676.4,43527,2724
4200,1448.4,6855.9,14853.2,43453,2666
4400,1458.7,7408.6,16178.1,43760,2983
4600,1438.9,6907.4,14955.1,43167,3272
4800,1448.9,7517.4,16378.1,43468,3698
5000,1446.8,7150.9,15278.7,43404,2972
