Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,2.1,7.8,300,0
20,20.0,2.2,7.7,599,0
30,30.0,1.8,7.4,900,0
40,40.0,1.9,7.3,1200,0
50,50.0,1.9,7.3,1500,0
100,100.0,1.8,7.2,3000,0
200,200.0,1.7,6.6,5999,0
300,300.0,1.6,5.8,8999,0
400,400.0,1.4,5.6,11999,0
500,500.0,1.3,5.4,15000,0
600,600.0,1.3,5.2,17999,0
800,799.9,1.2,5.1,23996,0
1000,952.6,1.2,5.2,28577,0
1200,1014.2,1.2,5.2,30426,0
1400,1313.3,1.2,5.1,39399,0
1600,1446.6,1.2,5.0,43399,0
1800,1502.3,1.2,5.1,45070,0
2000,1573.4,1.2,5.3,47203,0
2200,1659.5,1.3,5.3,49785,0
2400,1791.5,1.3,5.3,53745,0
2600,1861.0,1.3,5.4,55831,0
2800,1905.9,1.3,5.3,57178,0
3000,1987.9,1.3,5.5,59638,0
3200,2109.4,1.3,5.6,63283,0
3400,2268.1,1.3,5.6,68043,0
3600,2414.0,1.3,5.6,72419,0
3800,2568.9,1.4,5.7,77067,0
4000,2679.0,1.4,5.7,80369,0
4200,2814.1,1.4,5.9,84423,0
4400,2604.7,2.4,7.0,78142,1907
4600,2786.0,2.4,7.1,83581,1703
4800,2603.7,2.9,8.5,78110,4492
5000,2802.6,3.2,21.5,84077,3275
