Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,2.2,8.0,300,0
20,20.0,2.0,7.6,600,0
30,30.0,2.1,7.5,899,0
40,40.0,2.1,7.5,1200,0
50,50.0,2.1,7.5,1499,0
100,100.0,2.0,7.2,2999,0
200,200.0,1.8,6.6,5999,0
300,300.0,1.5,5.9,8999,0
400,400.0,1.4,5.9,11999,0
500,500.0,1.4,5.6,14999,0
600,599.9,1.3,5.3,17998,0
800,799.6,1.2,5.1,23987,0
1000,949.5,1.2,4.9,28486,0
1200,1014.4,1.2,5.1,30433,0
1400,1311.1,1.2,5.1,39332,0
1600,1440.8,1.2,5.1,43225,0
1800,1503.3,1.2,5.1,45100,0
2000,1581.2,1.2,5.2,47435,0
2200,1658.4,1.3,5.3,49752,0
2400,1792.5,1.3,5.3,53776,0
2600,1859.9,1.3,5.3,55798,0
2800,1901.5,1.3,5.4,57044,0
3000,1988.6,1.3,5.5,59658,0
3200,2140.7,1.3,5.5,64220,0
3400,2286.6,1.3,5.6,68599,0
3600,2429.0,1.4,5.7,72871,0
3800,2562.5,1.4,5.8,76874,0
4000,2679.2,1.4,5.9,80376,0
4200,2846.1,1.4,5.9,85384,0
4400,2618.3,2.4,6.9,78549,2108
4600,2816.0,2.3,6.9,84481,1753
4800,2683.2,3.5,24.1,80495,2774
5000,2809.1,3.4,23.6,84273,3206
