Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,7.2,13.1,299,0
20,20.0,7.0,12.5,599,0
30,30.0,6.5,12.1,900,0
40,40.0,6.5,12.1,1199,0
50,50.0,6.3,11.6,1500,0
100,100.0,6.9,13.2,3000,0
200,200.0,7.2,13.8,6000,0
300,300.0,7.6,14.7,8999,0
400,400.0,8.1,15.6,11999,0
500,499.9,8.5,16.6,14998,0
600,600.0,9.3,17.8,18000,0
800,799.9,10.6,20.5,23997,0
1000,984.9,12.4,24.1,29546,0
1200,1084.1,14.8,28.5,32523,0
1400,1173.0,28.4,55.3,35191,0
1600,1265.1,92.8,186.7,37954,0
1800,1399.1,178.0,372.2,41973,0
2000,1459.2,206.0,412.9,43775,519
2200,1558.7,272.2,492.9,46762,142
2400,1609.1,455.7,898.1,48273,336
2600,1475.3,3596.9,8906.1,44258,1357
2800,1516.1,3199.1,8974.5,45484,1639
3000,1474.3,5285.9,12041.0,44229,1911
3200,1418.6,5586.4,12476.9,42559,2118
3400,1464.2,6908.4,15255.3,43927,2504
3600,1418.0,6416.0,13835.1,42541,2171
3800,1452.7,7510.9,16286.8,43582,2708
4000,1409.5,6814.7,14313.1,42286,2610
4200,1449.5,7702.3,16317.1,43486,3007
4400,1407.7,6966.0,14418.3,42232,3120
4600,1445.7,7809.4,16490.7,43370,3576
4800,1431.4,6777.6,14209.4,42943,3027
5000,1457.4,8019.4,17075.2,43721,3687
