Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,7.1,12.5,300,0
20,20.0,7.2,12.2,600,0
30,30.0,6.7,12.0,900,0
40,40.0,6.4,12.0,1199,0
50,50.0,6.3,11.6,1500,0
100,100.0,6.7,13.1,2999,0
200,200.0,7.1,13.7,5999,0
300,300.0,7.5,14.6,9000,0
400,400.0,8.1,15.5,11999,0
500,500.0,8.7,16.9,14999,0
600,600.0,9.4,18.0,17999,0
800,799.8,10.8,21.1,23993,0
1000,984.5,12.8,24.6,29535,0
1200,1086.1,16.1,30.6,32582,0
1400,1172.6,26.5,56.6,35179,0
1600,1265.2,121.4,251.1,37956,0
1800,1398.5,179.4,385.9,41956,0
2000,1464.6,249.6,454.0,43939,505
2200,1558.0,334.3,573.2,46740,88
2400,1502.0,1365.2,4462.2,45060,827
2600,1439.2,4669.0,11092.6,43175,1773
2800,1408.6,4272.4,10468.1,42259,2120
3000,1444.6,6335.6,14806.5,43338,2439
3200,1384.9,5939.0,13188.3,41548,2436
3400,1433.0,7466.0,16484.8,42990,2742
3600,1386.2,6705.0,14403.5,41586,2800
3800,1415.6,7982.8,17069.7,42469,3598
4000,1389.3,6995.9,14648.7,41678,3093
4200,1408.7,8039.9,16987.8,42261,4024
4400,1377.9,7366.4,15198.1,41338,3871
4600,1410.6,8130.3,17093.4,42317,4299
4800,1383.4,7576.0,15677.0,41503,4042
5000,1405.2,8306.9,17272.5,42156,4493
