Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,7.3,8.2,299,0
20,20.0,7.2,8.1,600,0
30,30.0,7.0,7.9,899,0
40,40.0,6.7,7.6,1199,0
50,50.0,6.3,7.3,1499,0
100,100.0,5.7,6.5,2999,0
200,200.0,5.3,6.2,6000,0
300,299.9,5.0,5.9,8997,0
400,400.0,5.1,6.0,11999,0
500,500.0,5.3,6.3,14999,0
600,599.9,5.4,6.5,17998,0
800,799.9,5.7,7.0,23998,0
1000,979.6,6.2,7.8,29387,0
1200,1096.8,6.6,8.3,32903,0
1400,1192.2,7.0,8.9,35766,0
1600,1287.2,7.4,9.6,38615,0
1800,1381.9,8.1,10.7,41458,0
2000,1499.5,8.9,12.1,44984,0
2200,1630.9,9.7,13.6,48927,0
2400,1770.6,12.6,18.3,53118,0
2600,1571.9,61.1,373.9,47158,3658
2800,1664.7,104.0,594.7,49941,4071
3000,1525.2,81.2,414.2,45756,5957
3200,1631.2,108.7,517.9,48936,6215
3400,1348.5,146.3,489.4,40455,8913
3600,1371.4,235.2,531.2,41141,8982
3800,1339.9,294.7,603.3,40196,10220
4000,1178.2,368.3,788.0,35345,11858
4200,1316.3,539.6,1064.3,39490,11478
4400,1300.2,487.3,969.8,39007,11385
4600,1181.4,763.0,1634.3,35442,13195
4800,1284.8,821.8,2180.4,38544,12097
5000,1226.8,884.8,1904.0,36804,12884
