Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,7.6,8.5,300,0
20,20.0,7.4,8.2,600,0
30,30.0,7.3,8.1,899,0
40,40.0,7.2,8.0,1200,0
50,50.0,6.9,7.7,1499,0
100,100.0,5.9,6.8,3000,0
200,200.0,4.9,6.0,6000,0
300,300.0,5.0,5.8,9000,0
400,400.0,4.9,5.8,12000,0
500,500.0,5.1,6.0,14999,0
600,599.9,5.2,6.3,17998,0
800,799.9,5.7,6.9,23996,0
1000,981.1,6.2,7.6,29434,0
1200,1094.4,6.5,8.2,32832,0
1400,1191.3,6.9,8.7,35739,0
1600,1287.4,7.3,9.4,38621,0
1800,1383.2,7.8,10.2,41496,0
2000,1496.3,8.5,11.1,44888,0
2200,1624.0,9.0,12.1,48720,0
2400,1785.0,10.4,14.7,53549,0
2600,1578.1,470.7,2288.7,47343,4476
2800,1646.6,105.4,719.8,49398,4347
3000,1527.9,525.5,2523.6,45837,7204
3200,1627.7,115.6,708.4,48830,6332
3400,1437.4,383.6,1598.1,43122,9353
3600,1376.8,232.1,644.0,41305,9126
3800,1286.5,591.0,1474.7,38596,11160
4000,1276.2,419.7,956.1,38287,10968
4200,1289.3,707.1,1607.4,38680,11755
4400,1247.4,669.5,1426.7,37422,12459
4600,1188.1,937.4,2426.8,35642,13049
4800,1254.2,926.7,1738.2,37627,12889
5000,1250.6,978.5,1923.4,37517,13001
