Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,7.4,8.2,300,0
20,20.0,7.0,8.0,600,0
30,30.0,6.8,7.8,900,0
40,40.0,6.6,7.6,1200,0
50,50.0,6.3,7.3,1500,0
100,100.0,5.5,6.6,2999,0
200,199.9,4.4,6.1,5998,0
300,300.0,5.3,6.0,9000,0
400,399.9,4.8,5.8,11998,0
500,500.0,5.2,6.0,14999,0
600,600.0,5.2,6.2,17999,0
800,799.9,5.5,6.8,23998,0
1000,979.4,5.9,7.4,29382,0
1200,1093.0,6.2,7.9,32790,0
1400,1190.4,6.5,8.2,35712,0
1600,1288.9,7.0,8.9,38666,0
1800,1381.3,7.4,9.6,41438,0
2000,1492.3,7.9,10.2,44770,0
2200,1616.8,8.4,11.1,48505,0
2400,1764.0,59.6,428.4,52921,0
2600,1712.1,149.4,1124.0,51362,1221
2800,1755.9,325.3,1946.8,52678,1976
3000,1721.5,187.7,1238.8,51645,2506
3200,1805.3,383.8,2200.5,54159,3148
3400,1506.3,207.4,1002.6,45189,5414
3600,1394.2,476.8,1586.1,41827,8185
3800,1397.7,292.6,876.1,41932,7873
4000,1486.1,220.0,522.7,44582,5737
4200,1358.1,471.7,1017.9,40743,10698
4400,1412.8,290.3,692.0,42384,7042
4600,1334.0,609.4,1144.7,40019,11476
4800,1466.5,481.4,1149.0,43994,8100
5000,1315.9,488.7,988.7,39476,11345
