Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,6.0,6.8,300,0
20,20.0,6.1,6.8,600,0
30,30.0,5.8,6.5,899,0
40,40.0,5.5,6.3,1200,0
50,50.0,5.4,6.1,1499,0
100,100.0,5.0,5.7,3000,0
200,200.0,4.8,5.5,5999,0
300,300.0,4.7,5.5,9000,0
400,399.8,4.7,5.5,11993,0
500,500.0,4.8,5.7,14999,0
600,600.0,5.0,6.0,17999,0
800,799.9,5.5,6.7,23998,0
1000,981.0,6.0,7.6,29431,0
1200,1096.8,6.6,8.6,32904,0
1400,1192.7,7.1,9.4,35782,0
1600,1248.3,3148.6,9601.7,37450,0
1800,829.6,1163.9,3530.4,24887,12282
2000,1232.2,3913.5,10420.6,36965,5465
2200,781.9,3931.4,8766.2,23456,14060
2400,1112.9,5227.8,11432.4,33386,10623
2600,872.5,6005.9,9931.8,26176,16538
2800,969.9,4846.2,11135.6,29096,15534
3000,931.9,7443.6,12884.0,27956,16442
3200,900.8,7225.3,14304.6,27025,18089
3400,794.5,8093.1,12221.4,23836,19483
3600,901.6,8176.7,13627.0,27049,18279
3800,877.2,7441.1,12510.6,26316,19014
4000,859.1,9037.6,15547.4,25773,19604
4200,826.4,8296.3,14120.9,24791,20304
4400,923.8,9925.7,15216.4,27713,19059
4600,889.4,8011.9,12267.2,26681,19586
4800,895.5,10031.9,14507.0,26865,20109
5000,940.0,10400.5,15280.7,28201,19336
