Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,7.4,8.1,300,0
20,20.0,7.2,8.1,599,0
30,30.0,7.0,7.8,900,0
40,40.0,6.8,7.6,1200,0
50,50.0,6.6,7.3,1499,0
100,100.0,5.8,6.6,3000,0
200,200.0,5.2,6.0,5999,0
300,299.9,5.1,5.8,8998,0
400,400.0,5.1,5.9,12000,0
500,500.0,5.1,6.0,14999,0
600,599.7,5.3,6.3,17992,0
800,799.9,5.7,6.9,23997,0
1000,980.4,6.2,7.6,29413,0
1200,1095.1,6.6,8.3,32852,0
1400,1196.5,7.0,8.8,35896,0
1600,1287.7,7.5,9.6,38630,0
1800,1384.9,7.9,10.4,41548,0
2000,1498.0,9.8,11.9,44939,0
2200,1630.7,9.3,12.8,48921,0
2400,1779.0,10.9,15.5,53370,0
2600,1610.5,81.7,531.0,48315,3296
2800,1683.5,43.7,281.6,50506,3372
3000,1522.8,166.1,1004.4,45685,6342
3200,1631.9,49.5,213.7,48956,5643
3400,1273.8,245.7,770.2,38213,10050
3600,1319.9,245.4,511.9,39598,9490
3800,1310.7,276.5,539.1,39320,10149
4000,1241.2,381.0,749.0,37236,11302
4200,1256.4,648.4,1496.5,37691,12180
4400,1249.5,632.0,1524.5,37484,12050
4600,1217.8,822.1,1652.8,36533,13204
4800,1273.9,740.9,1494.3,38217,12475
5000,1248.4,866.6,2128.5,37452,12351
