Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,6.9,7.7,299,0
20,20.0,6.7,7.4,600,0
30,30.0,6.5,7.4,900,0
40,40.0,6.5,7.2,1200,0
50,50.0,6.1,6.9,1500,0
100,100.0,5.4,6.3,3000,0
200,199.9,5.0,5.8,5998,0
300,300.0,4.9,5.7,9000,0
400,400.0,5.0,5.8,12000,0
500,500.0,5.2,6.0,14999,0
600,599.9,5.3,6.3,17998,0
800,799.9,5.7,6.9,23998,0
1000,978.9,6.2,7.7,29368,0
1200,1096.1,6.6,8.2,32883,0
1400,1192.2,6.9,8.7,35767,0
1600,1292.1,7.4,9.4,38763,0
1800,1383.3,7.8,10.1,41498,0
2000,1498.3,8.4,11.0,44949,0
2200,1641.4,9.1,12.2,49242,0
2400,1777.1,10.2,14.2,53314,0
2600,1620.4,487.4,2457.3,48611,3745
2800,1600.0,155.8,1013.9,48001,4643
3000,1544.8,434.8,2206.2,46344,7080
3200,1653.5,135.4,928.6,49604,6038
3400,1374.0,404.1,1627.5,41219,9587
3600,1381.6,255.5,672.2,41449,9004
3800,1227.3,537.0,1263.7,36819,11539
4000,1250.0,431.6,963.5,37501,11226
4200,1264.3,645.9,1533.5,37928,11889
4400,1262.3,705.8,1379.1,37869,12299
4600,1256.4,754.8,1481.6,37693,12085
4800,1257.8,888.1,2310.1,37733,12720
5000,1240.4,837.7,1898.4,37211,12663
