Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,5.0,5.8,300,0
20,20.0,4.5,5.2,600,0
30,30.0,4.5,5.6,899,0
40,40.0,4.6,6.3,1200,0
50,50.0,5.0,7.3,1500,0
100,100.0,5.9,9.1,3000,0
200,200.0,5.3,10.2,6000,0
300,300.0,6.4,16.7,8999,0
400,400.0,7.6,21.6,12000,0
500,500.0,7.7,22.3,14999,0
600,599.9,7.9,23.6,17998,0
800,799.9,8.0,24.0,23997,0
1000,984.7,8.5,26.0,29541,0
1200,1101.5,8.4,25.2,33044,0
1400,1168.7,8.4,25.3,35061,0
1600,1295.7,9.2,28.1,38871,0
1800,1398.6,9.5,29.4,41959,0
2000,1535.8,69.7,32.2,46074,0
2200,1310.2,2110.8,19565.7,39307,9191
2400,49.1,19345.1,28994.3,1472,38994
2600,0.0,0.0,0.0,0,39990
