Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,4.0,4.6,300,0
20,20.0,3.6,4.1,599,0
30,30.0,3.5,4.4,899,0
40,40.0,3.6,5.7,1199,0
50,50.0,3.8,6.3,1500,0
100,100.0,4.8,7.6,3000,0
200,200.0,5.5,10.7,6000,0
300,300.0,5.8,12.9,8999,0
400,400.0,6.1,16.3,11999,0
500,500.0,5.9,15.4,14999,0
600,600.0,6.1,16.3,17999,0
800,799.9,6.1,15.6,23997,0
1000,983.3,6.3,16.3,29499,0
1200,1098.4,6.7,17.8,32951,0
1400,1096.3,1329.9,12980.7,32890,1838
1600,373.2,6362.3,26468.4,11195,25187
1800,0.0,0.0,0.0,0,34475
