Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,4.0,4.5,300,0
20,20.0,3.6,4.1,600,0
30,30.0,3.5,5.0,899,0
40,40.0,4.0,5.6,1200,0
50,50.0,5.2,20.5,1499,0
100,100.0,8.7,43.0,2999,0
200,200.0,5.2,9.6,5999,0
300,300.0,6.0,14.4,9000,0
400,400.0,7.5,20.6,11999,0
500,499.9,8.4,25.0,14998,0
600,600.0,8.9,26.7,17999,0
800,799.9,9.6,29.7,23996,0
1000,980.4,10.6,33.3,29412,49
1200,1097.9,9.3,27.9,32937,92
1400,1165.6,10.0,31.4,34967,0
1600,1266.3,14.7,47.2,37989,667
1800,1400.4,10.4,33.9,42013,0
2000,1558.4,14.0,48.6,46752,0
2200,998.6,1662.1,8283.5,29959,15128
2400,1797.3,12.6,38.2,53920,0
2600,1247.7,20.4,64.6,37432,11586
2800,2037.1,15.5,53.3,61112,0
3000,1044.1,1674.6,6724.5,31323,18393
3200,121.5,21749.8,29840.0,3644,36853
3400,2475.3,27.0,94.4,74259,0
3600,16.1,23005.8,28573.0,483,41554
3800,508.5,4303.2,9538.1,15256,56478
4000,704.9,9995.8,13620.2,21146,39002
4200,1201.7,45.0,109.3,36051,15762
4400,0.0,0.0,0.0,0,55414
