Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,4.9,5.5,300,0
20,20.0,4.5,5.3,600,0
30,30.0,4.3,5.0,900,0
40,40.0,4.2,5.0,1200,0
50,50.0,4.1,5.2,1500,0
100,100.0,4.6,6.6,3000,0
200,199.9,4.8,7.8,5998,0
300,300.0,5.1,9.8,9000,0
400,400.0,5.5,11.5,12000,0
500,500.0,5.8,12.8,15000,0
600,600.0,5.8,12.9,17999,0
800,799.9,6.1,13.9,23997,0
1000,982.3,6.5,14.6,29468,0
1200,1098.8,7.0,16.0,32964,0
1400,1175.1,67.6,18.3,35252,0
1600,268.4,8579.3,27383.4,8053,27748
1800,0.0,0.0,0.0,0,35326
