Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,6.4,7.3,300,0
20,20.0,6.3,7.0,600,0
30,30.0,6.1,6.9,900,0
40,40.0,6.0,6.8,1200,0
50,50.0,5.8,6.6,1499,0
100,100.0,5.1,5.9,3000,0
200,200.0,4.8,5.6,5999,0
300,300.0,4.9,5.6,9000,0
400,399.9,4.8,5.7,11998,0
500,499.9,5.2,6.1,14998,0
600,600.0,5.2,6.2,17999,0
800,799.9,5.5,6.7,23997,0
1000,981.7,5.9,7.4,29452,0
1200,1093.5,6.2,7.8,32805,0
1400,1190.7,6.5,8.3,35722,0
1600,1287.2,7.0,8.8,38617,0
1800,1379.3,7.3,9.5,41380,0
2000,1490.6,7.9,10.2,44718,0
2200,1617.8,8.4,11.0,48534,0
2400,1764.9,54.0,419.7,52947,0
2600,1700.3,214.5,1412.2,51009,1536
2800,1785.1,192.9,1411.3,53554,1707
3000,1697.7,322.6,1985.0,50930,2851
3200,1800.5,250.6,1641.2,54016,2671
3400,1587.9,310.0,1415.2,47638,3856
3600,1489.8,386.3,1215.5,44695,5516
3800,1474.2,353.9,913.5,44227,5634
4000,1367.0,349.3,867.5,41009,8393
4200,1417.5,303.0,706.4,42526,8044
4400,1346.7,422.2,988.1,40401,9991
4600,1388.9,451.5,954.6,41666,8312
4800,1408.1,562.3,1187.7,42242,10293
5000,1372.3,470.6,1105.7,41168,9325
