Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,6.2,7.2,299,0
20,20.0,6.0,6.9,599,0
30,30.0,5.9,6.6,900,0
40,40.0,5.8,6.6,1200,0
50,50.0,5.5,6.3,1500,0
100,100.0,5.3,6.0,3000,0
200,200.0,4.7,5.5,5999,0
300,300.0,5.0,5.7,9000,0
400,400.0,5.0,5.8,11999,0
500,500.0,5.3,6.2,14999,0
600,600.0,5.2,6.2,17999,0
800,799.5,5.6,6.8,23985,0
1000,980.5,6.0,7.5,29414,0
1200,1095.5,6.3,7.9,32865,0
1400,1193.3,6.6,8.3,35798,0
1600,1290.9,7.0,8.9,38728,0
1800,1382.6,7.4,9.5,41477,0
2000,1496.4,7.9,10.3,44892,0
2200,1618.1,8.4,11.1,48543,0
2400,1771.2,42.5,275.6,53135,0
2600,1660.4,296.1,1776.9,49811,1827
2800,1804.7,148.9,1101.5,54141,1395
3000,1691.8,360.4,2020.1,50755,2873
3200,1834.7,179.7,1263.3,55041,2384
3400,1576.1,467.9,1926.4,47282,3855
3600,1467.0,349.1,1095.7,44009,6336
3800,1540.5,305.5,822.4,46216,4531
4000,1369.7,373.7,1018.9,41091,7361
4200,1394.8,385.4,908.6,41843,8003
4400,1430.9,503.7,1072.4,42928,8672
4600,1422.9,447.5,1106.2,42688,7400
4800,1388.7,484.4,988.0,41661,9562
5000,1406.0,654.1,1340.7,42181,9488
