Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,4.1,4.6,300,0
20,20.0,3.8,4.2,600,0
30,30.0,3.7,5.3,900,0
40,40.0,3.9,6.2,1199,0
50,50.0,4.0,6.2,1499,0
100,100.0,5.5,8.8,2999,0
200,200.0,5.4,10.4,5999,0
300,300.0,5.8,13.1,8999,0
400,399.9,6.0,15.0,11998,0
500,500.0,5.8,14.7,14999,0
600,599.9,5.9,15.2,17997,0
800,799.9,6.2,16.1,23998,0
1000,985.1,6.5,17.2,29553,0
1200,1102.7,6.7,17.8,33082,0
1400,1108.9,1283.2,12594.7,33266,1334
1600,333.6,6982.7,26766.0,10008,26080
1800,0.0,0.0,0.0,0,34545
