Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,6.3,7.1,299,0
20,20.0,6.1,6.9,599,0
30,30.0,5.9,6.6,900,0
40,40.0,5.7,6.4,1200,0
50,50.0,5.5,6.3,1499,0
100,100.0,5.3,6.1,3000,0
200,200.0,4.9,5.9,5999,0
300,300.0,4.9,5.7,8999,0
400,400.0,4.8,5.6,11999,0
500,499.9,5.0,5.8,14998,0
600,600.0,5.1,6.0,17999,0
800,799.4,5.3,6.3,23982,0
1000,980.9,5.7,6.9,29427,0
1200,1092.5,5.9,7.4,32776,0
1400,1193.7,6.2,7.7,35812,0
1600,1285.5,6.6,8.4,38564,0
1800,1385.4,7.0,9.0,41561,0
2000,1496.0,7.6,9.8,44879,0
2200,1627.8,8.1,10.8,48835,0
2400,1775.0,9.1,12.5,53251,0
2600,1902.4,11.1,15.0,57072,0
2800,1980.0,11.7,17.3,59400,10
3000,1863.4,22.5,41.2,55902,1396
3200,1935.2,18.8,35.6,58057,1107
3400,1517.5,162.2,627.9,45524,3710
3600,1575.8,287.0,836.0,47274,5532
3800,1484.2,285.7,969.2,44526,5265
4000,1483.1,203.2,629.4,44494,4609
4200,1555.2,240.4,670.2,46656,5000
4400,1462.7,272.7,882.9,43881,5698
4600,1544.7,414.4,1563.2,46340,6473
4800,1491.4,376.2,1061.5,44741,7333
5000,1484.2,306.0,941.6,44526,6266
