Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,4.9,5.7,300,0
20,20.0,4.3,5.1,599,0
30,30.0,4.2,5.3,900,0
40,40.0,4.2,6.1,1200,0
50,50.0,4.6,6.7,1500,0
100,100.0,5.2,8.0,3000,0
200,200.0,5.6,10.1,6000,0
300,300.0,5.8,13.1,8999,0
400,400.0,6.0,15.6,11999,0
500,500.0,6.1,16.9,14999,0
600,599.9,6.1,16.6,17998,0
800,799.9,6.3,16.9,23998,0
1000,983.5,6.6,17.9,29506,0
1200,1102.0,6.7,18.0,33061,0
1400,1127.4,1410.6,13561.8,33822,814
1600,489.9,5125.0,25384.4,14698,22222
1800,0.0,0.0,0.0,0,35036
