Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,4.1,4.7,299,0
20,20.0,3.6,4.3,600,0
30,30.0,3.5,4.7,899,0
40,40.0,3.6,5.4,1200,0
50,50.0,3.8,6.0,1500,0
100,100.0,5.4,8.5,3000,0
200,200.0,5.3,10.2,5999,0
300,299.8,6.2,15.7,8994,0
400,400.0,7.3,20.5,12000,0
500,500.0,7.8,22.8,15000,0
600,599.9,7.8,23.4,17998,0
800,800.0,7.8,21.8,23999,0
1000,982.5,8.3,24.9,29474,0
1200,1098.0,8.5,25.4,32940,0
1400,1170.7,8.3,24.1,35120,0
1600,1288.7,8.7,25.8,38661,0
1800,1416.8,9.3,27.8,42503,0
2000,1534.5,38.7,33.2,46035,0
2200,1236.5,2174.6,19546.6,37095,10646
2400,47.0,20983.8,29337.7,1410,38897
2600,0.0,0.0,0.0,0,40301
