Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,3.9,4.5,300,0
20,20.0,3.7,4.3,599,0
30,30.0,3.5,5.0,899,0
40,40.0,3.7,5.8,1200,0
50,50.0,3.8,6.1,1500,0
100,100.0,5.2,8.0,2999,0
200,200.0,5.3,10.0,5999,0
300,300.0,5.7,13.7,8999,0
400,400.0,5.6,14.0,11999,0
500,499.9,5.7,14.5,14998,0
600,600.0,5.7,14.4,17999,0
800,799.8,6.0,15.3,23995,0
1000,986.6,6.2,16.1,29599,0
1200,1096.0,6.6,17.9,32879,0
1400,1159.3,650.0,4502.7,34780,0
1600,363.2,6389.1,26224.3,10896,25600
1800,0.0,0.0,0.0,0,34640
