Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,3.9,4.3,300,0
20,20.0,3.6,4.3,600,0
30,30.0,3.6,5.1,900,0
40,40.0,5.2,6.9,1199,0
50,50.0,5.8,20.2,1499,0
100,100.0,8.6,41.1,2999,0
200,200.0,5.2,9.7,6000,0
300,300.0,6.2,15.1,9000,0
400,400.0,7.9,23.1,12000,0
500,500.0,8.9,28.4,15000,0
600,599.9,9.3,29.5,17998,0
800,799.6,10.3,34.3,23988,10
1000,980.5,13.0,49.7,29414,80
1200,1092.7,11.6,43.2,32780,66
1400,1168.6,11.6,42.0,35058,11
1600,1210.0,314.3,2158.7,36300,2337
1800,1413.3,15.3,52.8,42399,0
2000,1542.4,18.9,72.0,46271,61
2200,763.9,3327.0,13720.8,22916,19938
2400,1800.0,16.9,65.6,54000,187
2600,985.2,25.0,85.6,29555,16869
2800,1690.6,1139.8,5027.3,50719,8227
3000,263.2,48.6,155.9,7895,29561
3200,1237.2,3789.2,8307.1,37115,28239
3400,1567.5,31.8,96.0,47025,7361
3600,79.1,67.2,360.9,2373,52019
3800,570.0,13972.9,24442.1,17099,34604
4000,512.4,6945.6,22167.5,15372,40239
4200,1711.3,2075.1,6121.7,51340,8624
4400,137.4,3877.6,4429.1,4123,42810
4600,0.0,0.0,0.0,0,56337
