Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,5.8,6.6,299,0
20,20.0,5.6,6.5,600,0
30,30.0,5.5,6.2,900,0
40,40.0,5.4,6.2,1199,0
50,50.0,5.2,6.0,1500,0
100,100.0,4.3,5.0,2999,0
200,200.0,3.8,4.4,6000,0
300,300.0,3.6,4.3,9000,0
400,400.0,3.6,4.3,12000,0
500,500.0,3.6,4.4,14999,0
600,600.0,3.8,4.7,18000,0
800,799.9,4.0,4.9,23997,0
1000,980.7,4.2,5.3,29420,0
1200,1094.1,4.4,5.7,32822,0
1400,1195.6,4.5,5.9,35869,0
1600,1292.6,4.7,6.2,38778,0
1800,1383.5,4.8,6.5,41504,0
2000,1492.7,5.1,6.7,44782,0
2200,1611.7,5.2,7.2,48352,0
2400,1777.0,5.9,8.4,53311,0
2600,1716.7,201.7,1100.7,51500,2612
2800,1577.0,57.4,314.0,47311,4961
3000,1654.0,423.2,2040.6,49620,5942
3200,1253.8,198.3,739.0,37615,10453
3400,1436.8,659.0,2309.9,43104,10158
3600,1306.6,344.9,1075.9,39199,10591
3800,1207.1,487.2,1273.7,36213,12208
4000,1360.9,558.9,1491.9,40826,12142
4200,1234.3,270.5,812.6,37030,12556
4400,1290.1,589.6,1508.4,38703,12583
4600,1393.4,581.3,1425.1,41802,11481
4800,1235.1,528.0,1405.4,37053,12412
5000,1295.7,1023.3,2508.6,38871,13748
