Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,1.9,6.1,300,0
20,20.0,1.8,6.0,600,0
30,30.0,1.8,6.0,899,0
40,40.0,1.8,5.8,1200,0
50,50.0,1.7,5.7,1500,0
100,100.0,1.6,5.5,3000,0
200,200.0,1.6,4.6,6000,0
300,300.0,1.4,4.7,8999,0
400,400.0,1.3,4.4,11999,0
500,500.0,1.2,4.1,14999,0
600,600.0,1.2,4.1,17999,0
800,799.9,1.1,3.8,23997,0
1000,950.4,1.1,3.7,28512,0
1200,1023.6,1.1,3.8,30707,0
1400,1311.2,1.1,3.8,39335,0
1600,1439.4,1.1,3.7,43183,0
1800,1508.0,1.1,3.9,45240,0
2000,1570.9,1.1,3.8,47128,0
2200,1656.5,1.1,3.6,49696,0
2400,1782.3,1.1,3.7,53468,0
2600,1863.5,1.1,3.8,55904,0
2800,1892.5,1.1,3.8,56774,0
3000,1979.2,1.1,3.8,59375,0
3200,2125.0,1.2,3.9,63749,0
3400,2270.7,1.2,3.9,68121,0
3600,2425.3,1.2,3.9,72760,0
3800,2546.5,1.2,3.9,76395,0
4000,2665.6,1.2,4.0,79968,0
4200,2813.7,1.3,4.1,84412,0
4400,2634.4,2.3,5.9,79032,1162
4600,2793.6,2.0,4.5,83809,1696
4800,2632.6,3.1,22.7,78977,3429
5000,2752.9,2.9,20.9,82586,3812
