Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,2.1,5.8,300,0
20,20.0,1.9,5.6,600,0
30,30.0,1.9,5.5,900,0
40,40.0,1.8,5.4,1200,0
50,50.0,1.8,5.3,1500,0
100,100.0,1.8,5.1,3000,0
200,200.0,1.6,4.3,5999,0
300,300.0,1.4,4.5,8999,0
400,400.0,1.3,3.9,11999,0
500,499.9,1.2,3.9,14998,0
600,600.0,1.1,4.0,17999,0
800,799.9,1.1,3.7,23998,0
1000,950.9,1.1,3.6,28526,0
1200,1038.6,1.1,3.8,31157,0
1400,1318.0,1.1,3.7,39541,0
1600,1429.5,1.1,3.7,42886,0
1800,1485.1,1.1,3.9,44552,0
2000,1556.6,1.1,3.7,46699,0
2200,1640.2,1.1,3.7,49206,0
2400,1758.7,1.1,3.9,52760,0
2600,1837.2,1.1,3.8,55116,0
2800,1851.0,1.2,3.8,55531,0
3000,1966.2,1.2,4.0,58986,0
3200,2112.2,1.2,4.0,63365,0
3400,2272.6,1.2,4.1,68177,0
3600,2401.9,1.2,4.0,72056,0
3800,2537.8,1.2,4.0,76134,0
4000,2624.7,1.3,4.1,78741,0
4200,2775.1,1.3,4.1,83254,0
4400,2603.8,2.2,4.8,78113,2157
4600,2719.9,2.3,4.9,81598,2204
4800,2650.7,3.1,22.6,79520,2792
5000,2790.5,3.3,22.1,83715,2088
