Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,5.6,6.2,300,0
20,20.0,5.6,6.3,600,0
30,30.0,5.4,6.2,900,0
40,40.0,5.2,5.9,1200,0
50,50.0,5.1,5.9,1500,0
100,100.0,4.4,5.0,3000,0
200,200.0,3.9,4.5,5999,0
300,300.0,3.7,4.3,9000,0
400,400.0,3.6,4.3,11999,0
500,500.0,3.6,4.3,14999,0
600,599.9,3.8,4.7,17998,0
800,799.6,4.0,4.9,23989,0
1000,980.0,4.2,5.4,29400,0
1200,1097.1,4.4,5.8,32912,0
1400,1192.8,4.6,5.9,35784,0
1600,1297.4,4.8,6.3,38922,0
1800,1386.5,4.9,6.6,41596,0
2000,1486.7,5.2,6.9,44602,0
2200,1609.7,5.3,7.3,48290,0
2400,1767.9,6.2,8.9,53037,0
2600,1902.1,6.6,10.1,57062,0
2800,1595.7,318.9,1624.9,47872,5418
3000,1702.3,59.3,329.9,51069,4872
3200,1452.4,403.0,1621.5,43572,9712
3400,1521.9,141.4,583.5,45656,8568
3600,1340.1,537.8,1787.9,40204,11251
3800,1286.3,425.9,1185.1,38589,12085
4000,1333.2,289.5,770.9,39995,11568
4200,1293.9,479.0,1225.7,38816,12594
4400,1229.0,399.5,1130.3,36871,13260
4600,1310.6,635.0,1690.8,39317,12500
4800,1273.7,603.4,1346.0,38211,13144
5000,1311.1,565.8,1137.1,39334,12359
