Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,4.3,5.5,300,0
20,20.0,3.8,4.5,600,0
30,30.0,3.7,4.3,900,0
40,40.0,3.8,4.7,1200,0
50,50.0,3.9,5.1,1500,0
100,100.0,4.9,6.9,2999,0
200,200.0,5.1,9.2,5999,0
300,300.0,6.2,15.6,9000,0
400,400.0,7.4,21.8,12000,0
500,500.0,7.7,23.1,14999,0
600,599.9,8.1,24.7,17998,0
800,799.8,9.1,28.1,23995,0
1000,983.8,11.2,36.5,29513,0
1200,1107.7,13.6,46.2,33230,0
1400,1156.5,15.2,52.3,34696,0
1600,1276.6,10.8,36.5,38297,468
1800,1409.3,11.7,38.5,42278,0
2000,1561.8,16.9,57.6,46853,111
2200,1371.7,173.7,1423.0,41151,3956
2400,1708.1,15.8,52.9,51243,1416
2600,818.2,1726.4,6477.6,24547,21584
2800,2050.4,16.0,54.7,61512,189
3000,1042.5,180.8,1649.5,31275,16503
3200,717.5,5300.3,18298.3,21526,29860
3400,1787.0,19.0,54.9,53611,6012
3600,473.2,5512.5,15619.2,14195,31976
3800,1262.4,5573.8,11086.7,37873,26092
4000,1313.3,30.9,79.1,39399,11367
4200,468.3,19617.5,29710.9,14049,34966
4400,203.3,18459.8,29795.1,6099,42972
4600,432.6,9121.8,21728.6,12977,43358
4800,1158.0,3989.1,14301.7,34740,18368
5000,763.6,59.0,140.5,22909,26135
