Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,24.0,107.4,299,0
20,20.0,8.3,15.6,599,0
30,30.0,8.6,15.5,899,0
40,40.0,8.3,15.3,1200,0
50,50.0,8.2,15.1,1499,0
100,100.0,6.8,13.2,3000,0
200,200.0,7.1,13.7,5999,0
300,300.0,7.5,14.5,8999,0
400,400.0,8.0,15.1,11999,0
500,500.0,8.4,15.9,14999,0
600,600.0,8.9,16.9,17999,0
800,799.8,10.0,19.3,23994,0
1000,983.8,11.7,22.6,29515,0
1200,1083.9,13.5,26.1,32516,0
1400,1177.7,42.2,91.3,35332,0
1600,1268.2,114.0,260.2,38045,0
1800,1389.1,171.4,360.3,41672,0
2000,1497.9,260.5,534.3,44936,150
2200,1488.7,329.3,591.1,44662,1141
2400,1520.7,1856.6,5507.1,45621,1065
2600,1552.4,2381.3,6419.2,46573,1421
2800,1521.1,4118.9,9305.7,45634,1747
3000,1472.9,4377.6,9592.4,44187,2495
3200,1495.9,5654.8,12339.4,44878,2303
3400,1467.9,5413.6,11485.4,44036,2630
3600,1483.6,6259.4,13428.8,44508,2966
3800,1476.1,5504.2,11844.8,44284,2901
4000,1500.8,6184.6,13505.5,45025,2950
4200,1477.0,5813.5,12321.8,44309,2887
4400,1502.0,6249.7,13321.3,45059,3077
4600,1469.8,5936.1,12559.2,44094,3396
4800,1485.0,6127.9,13162.6,44550,3410
5000,1497.7,6284.6,13388.0,44931,3221
