Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,23.7,108.7,300,0
20,20.0,8.7,15.9,599,0
30,30.0,8.3,15.6,900,0
40,40.0,8.2,15.4,1199,0
50,50.0,8.2,15.1,1500,0
100,100.0,7.7,14.3,3000,0
200,200.0,7.2,13.9,6000,0
300,300.0,7.5,14.4,8999,0
400,400.0,7.9,15.0,11999,0
500,499.7,8.4,16.0,14991,0
600,599.9,8.8,16.8,17998,0
800,799.9,9.9,18.9,23996,0
1000,984.9,11.8,23.2,29548,0
1200,1085.8,13.7,27.0,32574,0
1400,1172.3,31.0,69.0,35168,0
1600,1264.5,89.1,189.5,37934,0
1800,1389.8,159.0,342.1,41695,0
2000,1507.2,241.2,502.0,45215,28
2200,1486.6,302.8,592.7,44599,1228
2400,1567.7,916.1,2978.8,47031,662
2600,1535.8,2370.0,5954.7,46074,1695
2800,1513.3,4320.4,9459.1,45398,1842
3000,1481.4,4504.3,9807.6,44442,2138
3200,1511.5,5371.1,11870.6,45344,2394
3400,1478.2,4941.4,10611.3,44347,2554
3600,1503.4,5947.5,12866.5,45102,2755
3800,1485.3,5345.0,11447.1,44558,2716
4000,1516.7,5994.1,13022.7,45500,2655
4200,1498.6,5438.4,11604.8,44958,2870
4400,1518.2,6062.4,13113.3,45545,2989
4600,1476.7,5714.0,12019.8,44302,3197
4800,1506.1,6335.0,13572.0,45183,3421
5000,1490.8,5822.7,12278.0,44723,3125
