Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,5.6,6.6,299,0
20,20.0,4.9,5.6,600,0
30,30.0,4.6,5.3,900,0
40,40.0,4.6,5.4,1200,0
50,50.0,4.7,5.7,1499,0
100,100.0,4.9,6.2,2999,0
200,200.0,4.9,7.3,5999,0
300,300.0,5.2,10.2,8999,0
400,399.9,5.4,11.9,11996,0
500,499.9,5.9,14.0,14998,0
600,597.5,6.4,16.3,17926,73
800,799.8,6.9,17.9,23995,0
1000,890.5,181.0,678.4,26716,2793
1200,1106.7,34.3,171.3,33200,357
1400,29.1,11751.5,21968.2,874,31428
1600,1277.2,8.0,21.3,38317,0
1800,0.0,0.0,0.0,0,31376
