Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,25.4,118.6,300,0
20,20.0,9.5,16.7,599,0
30,30.0,9.3,16.2,899,0
40,40.0,8.4,15.4,1199,0
50,50.0,7.7,14.4,1500,0
100,100.0,7.2,13.5,3000,0
200,199.9,7.5,14.1,5997,0
300,300.0,7.8,14.7,8999,0
400,400.0,8.2,15.2,11999,0
500,500.0,8.7,16.1,14999,0
600,600.0,9.4,17.4,17999,0
800,799.9,10.7,19.7,23998,0
1000,985.1,12.8,23.6,29552,0
1200,1083.1,18.2,34.3,32492,0
1400,1172.6,38.0,83.5,35179,0
1600,1263.2,116.0,251.9,37896,0
1800,1385.2,196.5,401.7,41557,0
2000,1409.0,1569.8,6720.1,42271,879
2200,1418.6,1874.0,7177.1,42559,1007
2400,1353.6,5392.3,13463.0,40608,2176
2600,1296.7,5905.5,14360.1,38902,3334
2800,1325.4,7731.3,17949.7,39761,3500
3000,1272.7,7820.2,17082.7,38182,4101
3200,1313.7,8986.9,19444.6,39410,4265
3400,1276.8,8533.7,18014.3,38304,4576
3600,1309.6,9442.8,19856.2,39289,4850
3800,1273.8,8915.9,18575.7,38215,5447
4000,1304.1,9833.1,20599.6,39122,5721
4200,1279.9,9133.5,18796.3,38398,5802
4400,1302.6,10103.3,20780.0,39077,6158
4600,1271.2,9323.2,19027.1,38137,6228
4800,1296.1,10101.1,20814.1,38883,6966
5000,1266.4,9454.8,19205.7,37993,6843
