Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,26.9,124.5,299,0
20,20.0,9.2,16.7,600,0
30,30.0,8.1,15.3,900,0
40,40.0,8.8,16.0,1200,0
50,50.0,8.3,15.1,1500,0
100,100.0,7.7,14.5,3000,0
200,200.0,7.8,14.6,5999,0
300,300.0,7.7,14.5,8999,0
400,400.0,8.2,15.5,12000,0
500,500.0,8.7,16.3,14999,0
600,600.0,9.4,17.6,17999,0
800,799.9,10.6,19.7,23996,0
1000,984.0,12.5,23.3,29520,0
1200,1083.2,15.2,28.1,32497,0
1400,1171.9,44.9,90.1,35156,0
1600,1265.5,99.5,228.4,37964,0
1800,1384.2,194.1,391.1,41527,0
2000,1431.0,1185.9,5524.9,42930,712
2200,1405.3,1993.1,7406.7,42160,1232
2400,1400.9,4610.8,12817.3,42028,2032
2600,1359.3,4644.8,12577.1,40779,2594
2800,1341.5,7611.9,17579.2,40244,3494
3000,1277.8,7432.5,16249.1,38333,3877
3200,1326.6,9187.8,19998.6,39799,4286
3400,1279.8,8087.4,17072.3,38394,4396
3600,1323.3,9648.7,20334.1,39698,4768
3800,1282.4,8487.9,17689.6,38473,4904
4000,1321.9,9967.0,20756.6,39657,5780
4200,1277.8,8786.0,18018.9,38334,5369
4400,1305.4,10091.6,20871.5,39162,6613
4600,1280.2,8966.6,18304.6,38405,5951
4800,1311.8,10156.5,20968.1,39355,6839
5000,1283.6,9225.3,18821.3,38508,6332
