Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,5.2,6.1,299,0
20,20.0,5.1,6.0,600,0
30,30.0,5.0,5.8,899,0
40,40.0,4.8,5.6,1200,0
50,50.0,4.5,5.3,1500,0
100,100.0,3.9,4.5,2999,0
200,200.0,3.2,3.9,5999,0
300,300.0,3.3,4.2,8999,0
400,400.0,3.7,4.4,11999,0
500,500.0,3.8,4.5,14999,0
600,600.0,3.6,4.5,17999,0
800,800.0,3.8,4.8,23999,0
1000,981.2,4.0,5.2,29437,0
1200,1097.0,4.1,5.4,32909,0
1400,1195.8,4.2,5.5,35875,0
1600,1296.8,4.4,5.8,38904,0
1800,1382.7,4.6,6.2,41482,0
2000,1492.6,4.8,6.4,44779,0
2200,1604.2,5.0,6.8,48125,0
2400,1764.0,5.8,8.1,52921,0
2600,1888.6,5.9,8.7,56657,0
2800,1767.3,418.8,2031.8,53020,2325
3000,1894.0,40.6,316.1,56820,1283
3200,1752.4,639.8,3004.9,52572,4125
3400,1488.4,349.9,1217.9,44651,7423
3600,1468.7,1371.6,3064.2,44061,8752
3800,1332.8,493.9,1272.0,39984,10700
4000,1465.9,897.6,1696.2,43978,9292
4200,1372.5,843.4,1899.0,41174,11638
4400,1420.1,834.3,1554.3,42604,9870
4600,1416.7,1149.0,2692.5,42501,11709
4800,1469.4,850.0,1424.5,44082,9550
5000,1356.9,1568.3,4340.5,40706,12748
