Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,5.1,5.7,300,0
20,20.0,4.9,5.5,600,0
30,30.0,4.9,5.6,899,0
40,40.0,4.8,5.5,1200,0
50,50.0,4.4,5.2,1499,0
100,100.0,3.9,4.6,2999,0
200,200.0,3.6,4.1,6000,0
300,300.0,3.6,4.3,9000,0
400,400.0,3.7,4.4,11999,0
500,500.0,3.8,4.6,14999,0
600,599.7,4.0,4.8,17990,0
800,799.9,4.3,5.2,23998,0
1000,982.0,4.7,6.0,29461,0
1200,1103.2,5.0,6.7,33097,0
1400,1201.8,5.4,7.1,36054,0
1600,1252.0,1561.9,5963.1,37560,0
1800,988.3,1994.2,5427.0,29650,8946
2000,1128.2,4521.6,10076.6,33846,7480
2200,998.8,3955.0,10202.4,29963,10311
2400,1020.0,5729.9,10969.6,30601,12114
2600,767.7,6889.5,11540.3,23031,17764
2800,921.9,8078.6,15134.8,27656,15949
3000,890.7,7330.2,12277.1,26720,17191
3200,944.1,7827.7,12018.2,28324,17284
3400,826.6,8108.0,10230.3,24798,18445
3600,909.7,10189.4,18580.2,27292,18206
3800,844.9,8918.6,15712.2,25347,19241
4000,944.7,10314.8,16522.6,28341,18501
4200,942.1,7820.3,12244.7,28262,18696
4400,854.6,9499.4,14327.0,25639,19917
4600,881.5,11064.0,18740.2,26445,19558
4800,886.4,10256.2,17401.6,26592,19506
5000,949.3,12137.4,19519.6,28480,19173
