Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,5.1,6.0,300,0
20,20.0,4.6,5.4,600,0
30,30.0,4.4,5.2,900,0
40,40.0,4.5,5.5,1200,0
50,50.0,4.7,6.2,1499,0
100,100.0,5.1,7.0,2999,0
200,200.0,5.3,10.0,5999,0
300,300.0,5.7,13.5,8999,0
400,400.0,5.8,14.1,11999,0
500,500.0,6.2,16.9,14999,0
600,596.6,6.4,18.6,17897,102
800,798.2,7.1,22.4,23945,50
1000,652.3,75.3,561.5,19569,9818
1200,979.1,10.0,35.6,29372,3771
1400,953.9,1556.2,7023.0,28617,6713
1600,409.1,760.8,4049.8,12274,21166
1800,926.5,119.1,888.6,27796,11608
2000,0.0,0.0,0.0,0,42940
