Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,24.0,116.6,299,0
20,20.0,8.7,16.4,600,0
30,30.0,8.5,15.3,900,0
40,40.0,8.2,15.1,1199,0
50,50.0,7.8,14.5,1499,0
100,100.0,7.6,14.2,3000,0
200,200.0,7.1,13.6,5999,0
300,300.0,7.6,14.4,8999,0
400,399.9,8.1,15.3,11998,0
500,500.0,8.6,16.4,14999,0
600,599.9,9.2,17.6,17998,0
800,799.9,10.8,20.7,23997,0
1000,986.1,13.0,24.9,29584,0
1200,1084.8,15.9,29.9,32545,0
1400,1175.6,53.6,124.5,35268,0
1600,1269.6,114.5,263.9,38088,0
1800,1390.1,193.7,393.8,41703,0
2000,1444.6,262.8,459.9,43339,804
2200,1536.1,355.0,611.8,46082,303
2400,1499.9,1360.3,4409.3,44996,864
2600,1546.9,2550.2,7929.3,46407,1309
2800,1450.6,4492.3,10585.0,43517,1783
3000,1395.1,5858.4,12977.0,41852,2209
3200,1415.1,6844.0,15279.7,42454,2757
3400,1404.4,6774.7,14823.1,42131,2657
3600,1411.6,7513.7,16202.7,42347,3059
3800,1407.9,7162.7,15132.2,42237,2951
4000,1419.8,7932.7,16704.1,42593,3421
4200,1399.1,7393.2,15472.3,41974,3467
4400,1406.8,7954.5,16721.3,42204,4357
4600,1401.3,7457.9,15569.9,42039,3806
4800,1411.4,7994.6,16707.8,42342,4240
5000,1409.1,7779.5,16007.2,42274,3800
