Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,24.0,110.2,300,0
20,20.0,8.8,15.8,600,0
30,30.0,8.4,15.2,900,0
40,40.0,8.2,15.2,1200,0
50,50.0,7.0,13.0,1499,0
100,100.0,7.0,13.1,3000,0
200,200.0,7.2,13.8,5999,0
300,300.0,7.6,14.5,8999,0
400,400.0,8.0,15.3,11999,0
500,500.0,8.6,16.2,15000,0
600,599.9,9.2,17.9,17998,0
800,799.8,10.5,20.3,23995,0
1000,985.6,12.5,24.2,29568,0
1200,1086.9,15.3,29.0,32607,0
1400,1177.0,35.5,83.4,35310,0
1600,1262.1,116.1,254.8,37864,0
1800,1395.8,190.3,389.7,41874,0
2000,1453.7,236.1,449.3,43610,603
2200,1541.1,344.3,587.8,46233,346
2400,1614.8,634.1,1423.9,48445,327
2600,1446.6,4217.9,10067.3,43397,1608
2800,1402.7,5150.9,11602.0,42081,2061
3000,1416.2,6031.6,13886.3,42486,2222
3200,1421.3,6336.2,14229.8,42638,2476
3400,1402.5,7041.2,15181.4,42075,2915
3600,1403.8,6953.5,15133.3,42115,3005
3800,1417.0,7591.8,16233.6,42510,3291
4000,1403.7,7183.5,15022.2,42110,3085
4200,1418.3,7725.4,16410.6,42549,3804
4400,1390.2,7331.7,15142.6,41705,3645
4600,1408.9,8077.7,16992.5,42268,4567
4800,1389.2,7556.1,15600.9,41675,3949
5000,1413.0,8028.7,16847.8,42391,4529
