Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,4.2,4.8,300,0
20,20.0,4.1,4.7,599,0
30,30.0,3.9,4.7,899,0
40,40.0,3.8,4.5,1200,0
50,50.0,3.7,4.3,1499,0
100,100.0,3.3,3.9,2999,0
200,199.9,3.1,3.8,5998,0
300,300.0,3.6,4.2,9000,0
400,400.0,3.6,4.3,11999,0
500,500.0,3.7,4.4,15000,0
600,600.0,3.5,4.4,17999,0
800,799.8,3.8,4.6,23994,0
1000,979.9,3.9,4.9,29397,0
1200,1094.7,4.0,5.0,32840,0
1400,1192.7,4.0,5.1,35780,0
1600,1287.2,4.1,5.3,38616,0
1800,1386.5,4.2,5.6,41594,0
2000,1489.4,4.4,5.7,44682,0
2200,1602.9,4.5,6.0,48088,0
2400,1757.9,5.0,6.9,52738,0
2600,1896.5,5.2,7.4,56894,0
2800,2017.4,5.8,8.5,60521,0
3000,2173.8,6.3,9.8,65215,0
3200,2083.8,8.8,24.9,62515,1070
3400,2036.6,13.7,32.4,61098,2256
3600,1935.9,31.4,106.6,58076,2715
3800,1971.1,50.3,269.9,59134,3351
4000,1923.0,68.8,273.3,57689,2683
4200,1816.2,71.3,264.3,54485,5954
4400,1820.9,108.0,320.0,54627,5140
4600,1706.7,169.3,510.9,51200,6309
4800,1724.5,279.4,772.3,51734,4357
5000,1680.9,218.0,596.7,50427,6605
