Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,1.8,5.4,300,0
20,20.0,1.9,5.1,599,0
30,30.0,1.7,5.0,899,0
40,40.0,1.8,5.1,1200,0
50,50.0,1.7,4.9,1499,0
100,100.0,1.7,4.9,2999,0
200,200.0,1.5,3.7,5999,0
300,300.0,1.4,4.1,9000,0
400,400.0,1.2,3.3,11999,0
500,499.8,1.1,3.5,14993,0
600,600.0,1.1,3.7,18000,0
800,799.9,1.1,3.5,23998,0
1000,951.2,1.1,3.5,28537,0
1200,1022.9,1.1,3.5,30688,0
1400,1311.8,1.1,3.5,39354,0
1600,1428.3,1.1,3.5,42848,0
1800,1505.4,1.1,3.5,45163,0
2000,1559.5,1.1,3.5,46784,0
2200,1655.0,1.1,3.5,49650,0
2400,1782.1,1.1,3.5,53464,0
2600,1839.6,1.1,3.6,55188,0
2800,1856.4,1.1,3.6,55692,0
3000,1969.9,1.1,3.6,59098,0
3200,2104.1,1.1,3.6,63122,0
3400,2258.7,1.1,3.7,67760,0
3600,2426.8,1.1,3.7,72805,0
3800,2532.4,1.2,3.7,75971,0
4000,2653.4,1.2,3.7,79602,0
4200,2781.3,1.2,3.8,83439,0
4400,2664.3,2.1,4.5,79928,1324
4600,2759.1,2.2,4.5,82772,1852
4800,2669.7,2.9,20.8,80090,3466
5000,2831.7,3.1,21.9,84952,2796
