Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,2.0,4.4,300,0
20,20.0,1.9,4.2,599,0
30,30.0,1.7,4.1,900,0
40,40.0,1.8,4.0,1200,0
50,50.0,1.8,4.0,1499,0
100,100.0,1.7,4.0,2999,0
200,200.0,1.4,3.5,5999,0
300,299.9,1.4,3.5,8996,0
400,400.0,1.2,3.5,11999,0
500,500.0,1.2,3.7,14999,0
600,599.9,1.1,3.5,17998,0
800,799.9,1.1,3.4,23997,0
1000,945.2,1.1,3.5,28356,0
1200,1051.4,1.1,3.5,31541,0
1400,1316.0,1.1,3.5,39479,0
1600,1424.6,1.1,3.5,42739,0
1800,1492.1,1.1,3.5,44763,0
2000,1546.6,1.1,3.5,46399,0
2200,1650.8,1.1,3.5,49525,0
2400,1785.4,1.1,3.5,53561,0
2600,1856.9,1.1,3.6,55707,0
2800,1853.7,1.1,3.5,55610,0
3000,1965.6,1.1,3.6,58968,0
3200,2104.9,1.1,3.6,63148,0
3400,2256.2,1.1,3.6,67686,0
3600,2415.3,1.1,3.7,72459,0
3800,2550.2,1.2,3.7,76505,0
4000,2644.1,1.2,3.7,79322,0
4200,2773.7,1.2,3.8,83210,0
4400,2651.3,2.0,4.3,79540,1423
4600,2806.4,1.9,4.2,84192,1429
4800,2631.7,2.9,20.7,78952,3990
5000,2874.7,2.9,18.8,86240,2074
