Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,4.4,5.8,299,0
20,20.0,3.8,4.4,600,0
30,30.0,3.6,4.4,899,0
40,40.0,3.7,4.5,1200,0
50,50.0,3.8,4.9,1499,0
100,100.0,4.6,6.5,3000,0
200,200.0,5.2,8.9,5999,0
300,299.9,5.4,11.6,8996,0
400,400.0,5.8,14.8,12000,0
500,500.0,6.0,16.2,15000,0
600,597.4,7.7,25.7,17921,79
800,796.2,6.8,21.1,23887,107
1000,980.0,11.4,42.5,29400,158
1200,888.7,944.5,2711.1,26661,7244
1400,807.9,950.1,3707.2,24238,9451
1600,526.6,2108.4,4277.1,15799,19518
1800,295.2,2826.0,5160.2,8855,27986
2000,818.5,3552.1,8434.6,24556,18065
2200,638.5,3231.5,6955.3,19156,22933
2400,0.0,0.0,0.0,0,35265
