Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,19.7,88.0,300,0
20,20.0,8.9,16.4,600,0
30,30.0,8.2,15.8,899,0
40,40.0,8.0,15.5,1200,0
50,50.0,7.9,15.1,1500,0
100,100.0,7.4,14.4,2999,0
200,200.0,6.9,13.6,6000,0
300,300.0,7.2,14.4,8999,0
400,400.0,7.6,15.2,11999,0
500,500.0,8.2,16.3,14999,0
600,599.9,8.7,17.3,17998,0
800,799.9,9.8,19.7,23998,0
1000,985.8,11.5,22.9,29574,0
1200,1085.8,13.3,26.0,32574,0
1400,1172.5,17.5,33.2,35175,0
1600,1263.4,72.0,170.6,37902,0
1800,1390.5,145.1,310.3,41716,0
2000,1496.8,195.0,406.2,44904,0
2200,1532.4,242.8,456.4,45971,474
2400,1647.4,333.9,572.3,49423,254
2600,1585.8,1297.0,4280.8,47575,739
2800,1536.4,3600.1,9584.2,46093,1376
3000,1509.2,3823.0,9782.0,45276,1622
3200,1494.0,5738.0,13399.0,44819,1617
3400,1475.3,5588.8,12957.8,44258,1546
3600,1475.4,6789.6,15344.2,44263,2245
3800,1461.8,6375.1,14176.2,43854,1731
4000,1496.1,6849.7,15249.6,44884,2127
4200,1476.5,6413.0,14204.0,44295,2282
4400,1485.9,7187.1,15787.7,44578,2470
4600,1466.6,6493.6,14317.6,43997,2676
4800,1485.4,7199.4,16055.8,44563,3145
5000,1462.0,6865.2,14799.5,43861,2735
