Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,18.1,100.7,299,0
20,20.0,6.8,12.5,600,0
30,30.0,6.7,12.3,900,0
40,40.0,6.4,12.1,1200,0
50,50.0,6.2,11.6,1500,0
100,100.0,6.6,13.3,3000,0
200,200.0,6.8,13.5,6000,0
300,300.0,7.3,14.4,9000,0
400,400.0,7.6,15.0,11999,0
500,500.0,8.1,15.9,14999,0
600,600.0,8.7,17.3,18000,0
800,799.5,10.0,19.7,23984,0
1000,984.8,11.8,23.4,29545,0
1200,1083.6,13.1,25.7,32507,0
1400,1174.3,17.7,34.1,35230,0
1600,1265.7,69.8,162.4,37970,0
1800,1388.3,145.8,325.5,41648,0
2000,1500.6,202.7,409.4,45018,0
2200,1520.5,241.5,453.1,45615,663
2400,1650.0,351.9,589.9,49499,260
2600,1712.5,517.8,909.4,51376,319
2800,1522.4,4144.3,10140.8,45671,1002
3000,1476.1,4598.1,10855.8,44282,1587
3200,1484.5,5784.6,13543.9,44535,1669
3400,1487.3,5565.6,13030.0,44618,1714
3600,1489.9,6505.1,14744.9,44698,1948
3800,1473.9,6095.3,13696.8,44217,2018
4000,1481.2,6980.3,15538.8,44436,2498
4200,1478.9,6316.1,14074.3,44367,2096
4400,1505.3,6916.9,15541.9,45158,2424
4600,1468.7,6652.8,14540.0,44060,2644
4800,1474.1,7429.5,16244.1,44224,3023
5000,1463.8,6662.5,14431.2,43914,2661
