Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,10.8,11.9,600,0
40,40.0,10.5,11.7,1200,0
60,60.0,10.5,11.5,1799,0
80,80.0,10.3,11.5,2400,0
100,100.0,10.3,11.4,3000,0
200,200.0,10.5,12.9,5999,0
300,300.0,10.7,13.3,8999,0
400,399.9,11.0,13.7,11998,0
500,500.0,11.2,13.8,14999,0
600,599.9,11.5,14.5,17997,0
800,799.8,11.7,15.3,23994,0
1000,977.3,12.5,18.7,29319,0
1200,1119.4,28.7,77.2,33583,0
1400,1215.4,56.8,138.6,36463,1902
1600,1306.9,81.8,199.1,39208,3591
1800,1370.8,103.7,279.9,41125,5250
2000,1471.9,145.1,358.3,44156,5824
2400,1498.7,282.9,864.3,44961,11354
2800,1615.9,375.3,978.0,48476,13678
