Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,12.7,15.3,600,0
40,40.0,13.8,17.3,1199,0
60,60.0,13.7,17.3,1800,0
80,80.0,14.2,18.3,2399,0
100,100.0,14.8,20.7,3000,0
200,200.0,16.3,32.3,5999,0
300,299.9,18.6,49.5,8998,0
400,400.0,18.1,53.0,11999,0
500,499.9,19.5,56.8,14998,0
600,600.0,20.5,59.6,18000,0
800,799.4,28.4,77.5,23981,0
1000,975.7,28.9,78.2,29272,0
1200,1128.9,46.4,191.1,33866,1
1400,1276.7,47.8,134.2,38300,0
1600,1404.5,125.7,760.0,42134,0
1800,1231.0,227.2,1748.8,36930,8524
2000,1245.9,1650.7,11008.3,37378,11641
2400,1435.4,1037.4,5108.5,43063,13681
2800,1367.4,690.8,4912.7,41022,21341
