Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,12.0,13.2,599,0
40,40.0,11.8,12.8,1200,0
60,60.0,11.8,12.8,1799,0
80,80.0,11.7,12.8,2399,0
100,100.0,11.6,12.7,3000,0
200,200.0,11.6,12.8,6000,0
300,299.9,11.5,12.8,8998,0
400,399.9,11.4,12.9,11998,0
500,500.0,11.3,12.9,14999,0
600,600.0,11.3,13.1,17999,0
800,799.8,11.4,13.4,23994,0
1000,977.5,11.4,13.6,29325,0
1200,1126.5,11.3,13.8,33795,0
1400,1268.7,11.1,13.7,38060,0
1600,1389.4,11.1,13.9,41682,0
1800,1489.5,10.9,13.9,44684,0
2000,1659.1,10.5,13.6,49772,0
2400,1966.6,10.3,13.5,58999,0
2800,1927.0,12.0,27.1,57810,7902
