Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,12.8,15.3,599,0
40,40.0,13.5,16.9,1199,0
60,60.0,13.6,17.4,1800,0
80,80.0,14.0,17.9,2399,0
100,100.0,15.0,20.0,2999,0
200,200.0,12.8,19.4,6000,0
300,300.0,10.0,14.6,8999,0
400,400.0,9.2,13.5,11999,0
500,499.9,9.3,12.2,14998,0
600,600.0,8.8,11.1,17999,0
800,799.8,8.8,11.7,23995,0
1000,974.9,10.1,14.5,29248,0
1200,1114.4,102.1,25.0,33431,0
1400,1261.7,51.7,23.4,37850,0
1600,1389.5,17.8,27.1,41685,0
1800,1503.1,205.2,448.2,45092,0
2000,1641.2,582.9,992.2,49235,0
2400,1775.5,35.3,49.6,53264,4155
2800,1945.8,131.2,830.0,58375,6400
