Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,15.4,17.3,300,0
20,20.0,15.0,16.8,600,0
50,50.0,13.3,16.2,1499,0
100,100.0,13.7,16.2,3000,0
200,200.0,14.2,17.8,5999,0
400,399.9,15.3,20.0,11998,0
600,599.9,18.1,34.5,17998,0
800,799.4,81.6,177.2,23983,0
1000,985.2,319.9,574.5,29556,75
1200,979.8,579.5,2082.4,29394,5373
1400,1084.0,2801.4,6458.5,32520,7147
1600,1025.2,706.0,1567.8,30756,12704
1800,1096.9,5495.6,11271.4,32906,14880
2000,996.9,840.5,2351.1,29908,20308
