Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,15.0,17.3,299,0
20,20.0,14.8,16.4,599,0
50,50.0,14.8,16.7,1499,0
100,100.0,14.8,16.9,2999,0
200,200.0,15.6,18.4,6000,0
400,400.0,17.0,21.1,11999,0
600,600.0,22.2,44.7,17999,0
800,798.8,107.7,190.6,23965,0
1000,988.7,324.3,551.9,29662,0
1200,1023.5,632.6,1743.3,30705,4227
1400,1158.6,1575.3,3876.1,34757,4939
1600,1126.9,1056.1,2699.7,33807,9850
1800,1227.4,1923.7,3774.2,36823,11192
2000,1178.0,1398.7,2981.1,35339,16109
