Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,1.9,4.8,600,0
40,40.0,1.8,4.6,1199,0
60,60.0,1.7,4.5,1800,0
80,80.0,1.7,4.4,2400,0
100,100.0,1.7,4.4,2999,0
200,200.0,1.6,4.2,6000,0
300,300.0,1.4,4.4,8999,0
400,400.0,1.3,4.0,11999,0
500,500.0,1.2,3.7,14999,0
600,599.7,1.1,3.8,17992,0
800,799.8,1.1,3.6,23995,0
1000,950.7,1.1,3.8,28521,0
1200,1043.2,1.1,3.8,31295,0
1400,1313.4,1.1,3.8,39401,0
1600,1437.7,1.1,3.7,43130,0
1800,1505.6,1.1,3.8,45169,0
2000,1568.4,1.1,3.8,47052,0
2200,1657.6,1.1,3.7,49728,0
2400,1781.4,1.1,3.7,53442,0
2600,1850.4,1.1,3.9,55511,0
2800,1892.9,1.1,3.8,56786,0
3000,1986.5,1.1,3.8,59594,0
3400,2268.1,1.2,3.9,68043,0
3800,2561.3,1.2,3.9,76840,0
4000,2653.3,1.2,3.9,79599,0
4400,2784.6,1.8,4.4,83538,1203
4800,2566.6,3.0,22.8,76998,3752
5000,2779.1,2.9,13.8,83372,4262
