Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,2.0,6.0,599,0
40,40.0,1.9,5.8,1200,0
60,60.0,1.8,5.6,1799,0
80,80.0,1.8,5.6,2399,0
100,100.0,1.8,5.4,2999,0
200,200.0,1.5,4.7,6000,0
300,300.0,1.4,4.8,9000,0
400,400.0,1.2,4.0,11999,0
500,500.0,1.2,4.0,15000,0
600,600.0,1.2,3.9,17999,0
800,799.9,1.1,3.8,23996,0
1000,951.0,1.1,3.7,28529,0
1200,1031.9,1.1,3.7,30957,0
1400,1311.8,1.1,3.7,39353,0
1600,1434.3,1.1,3.6,43028,0
1800,1498.4,1.1,3.6,44951,0
2000,1565.1,1.1,3.7,46952,0
2200,1659.8,1.1,3.7,49795,0
2400,1785.4,1.1,3.8,53562,0
2600,1840.9,1.1,3.8,55228,0
2800,1878.4,1.1,3.8,56352,0
3000,1982.6,1.2,3.9,59477,0
3400,2286.3,1.2,3.9,68588,0
3800,2554.0,1.2,4.0,76620,0
4000,2666.2,1.2,4.0,79987,0
4400,2820.4,1.8,4.4,84613,934
4800,2649.4,3.0,21.6,79482,2921
5000,2837.1,2.8,11.2,85112,3476
